accession,reference_length,covered_bases,reads_aligned,mean_coverage,RPKMF,sequence_name,taxid,kingdom,phylum,class,order,family,genus,species,associated_with_(not_categorized),grouped_association,subspecies,strain,sample_ID,total_filtered_reads_in_sample,description,solid_fluid,sample_type
MF352424.1,8417,4871,251,"4,493649500","4,05169e+00","Cardiovirus C3 strain Wencheng-Rn416 polyprotein gene, complete cds",2849595,Viruses,Pisuviricota,Pisoniviricetes,Picornavirales,Picornaviridae,Cardiovirus,Cardiovirus C,Rodents,Strictly animal,cardiovirus C3,cardiovirus C3,M3,7360040,Aquafin wastewater 18JAN2024 (Fluid),Fluid,wastewater
JQ864242.1,8530,4526,133,"2,359307800","1,89865e+00","Cardiovirus C1 isolate BCV-1 polyprotein gene, complete cds",2034827,Viruses,Pisuviricota,Pisoniviricetes,Picornavirales,Picornaviridae,Cardiovirus,Cardiovirus C,Rodents,Strictly animal,cardiovirus C1,cardiovirus C1,M2,8212182,Aquafin wastewater 8JAN2024 (Fluid),Fluid,wastewater
MF352424.1,8417,3295,99,"1,795209900","1,43225e+00","Cardiovirus C3 strain Wencheng-Rn416 polyprotein gene, complete cds",2849595,Viruses,Pisuviricota,Pisoniviricetes,Picornavirales,Picornaviridae,Cardiovirus,Cardiovirus C,Rodents,Strictly animal,cardiovirus C3,cardiovirus C3,M2,8212182,Aquafin wastewater 8JAN2024 (Fluid),Fluid,wastewater
JQ864242.1,8530,5365,227,"3,995942800","3,48402e+00","Cardiovirus C1 isolate BCV-1 polyprotein gene, complete cds",2034827,Viruses,Pisuviricota,Pisoniviricetes,Picornavirales,Picornaviridae,Cardiovirus,Cardiovirus C,Rodents,Strictly animal,cardiovirus C1,cardiovirus C1,M7,7638288,Aquiris BXL wastewater 8MAR2024 (Fluid),Fluid,wastewater
MF352424.1,8417,4406,208,"3,747429600","3,23527e+00","Cardiovirus C3 strain Wencheng-Rn416 polyprotein gene, complete cds",2849595,Viruses,Pisuviricota,Pisoniviricetes,Picornavirales,Picornaviridae,Cardiovirus,Cardiovirus C,Rodents,Strictly animal,cardiovirus C3,cardiovirus C3,M7,7638288,Aquiris BXL wastewater 8MAR2024 (Fluid),Fluid,wastewater
JQ864242.1,8530,5818,405,"7,239021300","5,23758e+00","Cardiovirus C1 isolate BCV-1 polyprotein gene, complete cds",2034827,Viruses,Pisuviricota,Pisoniviricetes,Picornavirales,Picornaviridae,Cardiovirus,Cardiovirus C,Rodents,Strictly animal,cardiovirus C1,cardiovirus C1,M1,9065164,Aquafin wastewater 24OCT2023 (Fluid),Fluid,wastewater
MF352424.1,8417,4734,370,"6,665054000","4,84918e+00","Cardiovirus C3 strain Wencheng-Rn416 polyprotein gene, complete cds",2849595,Viruses,Pisuviricota,Pisoniviricetes,Picornavirales,Picornaviridae,Cardiovirus,Cardiovirus C,Rodents,Strictly animal,cardiovirus C3,cardiovirus C3,M1,9065164,Aquafin wastewater 24OCT2023 (Fluid),Fluid,wastewater
AF495467.1,5097,5090,1507,"44,619972000","4,61980e+01","Minute virus of canines non structural protein 1, NP1, virus protein 1, and virus protein 2 genes, complete cds",329639,Viruses,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Bocaparvovirus,Carnivore bocaparvovirus 1,Dogs,Strictly animal,Canine minute virus,Canine minute virus,M8,6399938,Aquiris BXL wastewater 8MAR2024 (Filtered),Filtered,wastewater
AF495467.1,5097,5075,871,"25,887003000","2,26547e+01","Minute virus of canines non structural protein 1, NP1, virus protein 1, and virus protein 2 genes, complete cds",329639,Viruses,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Bocaparvovirus,Carnivore bocaparvovirus 1,Dogs,Strictly animal,Canine minute virus,Canine minute virus,M5,7543012,Aquiris BXL wastewater 28FEB2024 (Fluid),Fluid,wastewater
AF495467.1,5097,3657,75,"2,233070600","3,28698e+00","Minute virus of canines non structural protein 1, NP1, virus protein 1, and virus protein 2 genes, complete cds",329639,Viruses,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Bocaparvovirus,Carnivore bocaparvovirus 1,Dogs,Strictly animal,Canine minute virus,Canine minute virus,M6,4476610,Aquiris BXL wastewater 8MAR2024 (Solid),Solid,wastewater
AF495467.1,5097,4944,161,"4,815443500","4,29172e+00","Minute virus of canines non structural protein 1, NP1, virus protein 1, and virus protein 2 genes, complete cds",329639,Viruses,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Bocaparvovirus,Carnivore bocaparvovirus 1,Dogs,Strictly animal,Canine minute virus,Canine minute virus,M3,7360040,Aquafin wastewater 18JAN2024 (Fluid),Fluid,wastewater
AF495467.1,5097,5097,1996,"59,084496000","5,12684e+01","Minute virus of canines non structural protein 1, NP1, virus protein 1, and virus protein 2 genes, complete cds",329639,Viruses,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Bocaparvovirus,Carnivore bocaparvovirus 1,Dogs,Strictly animal,Canine minute virus,Canine minute virus,M7,7638288,Aquiris BXL wastewater 8MAR2024 (Fluid),Fluid,wastewater
JN648103.1,5413,4512,373,"10,387992000","3,65141e+00","Canine bocavirus 1 isolate Con-161, complete genome",1511885,Viruses,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Bocaparvovirus,Carnivore bocaparvovirus 2,Dogs,Strictly animal,Canine bocavirus 1,Canine bocavirus 1,M4,18871642,Aquafin wastewater 22JAN2024 (Fluid),Fluid,wastewater
JN648103.1,5413,4162,234,"6,526695700","6,75464e+00","Canine bocavirus 1 isolate Con-161, complete genome",1511885,Viruses,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Bocaparvovirus,Carnivore bocaparvovirus 2,Dogs,Strictly animal,Canine bocavirus 1,Canine bocavirus 1,M8,6399938,Aquiris BXL wastewater 8MAR2024 (Filtered),Filtered,wastewater
JN648103.1,5413,1540,30,"0,825764800","7,34748e-01","Canine bocavirus 1 isolate Con-161, complete genome",1511885,Viruses,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Bocaparvovirus,Carnivore bocaparvovirus 2,Dogs,Strictly animal,Canine bocavirus 1,Canine bocavirus 1,M5,7543012,Aquiris BXL wastewater 28FEB2024 (Fluid),Fluid,wastewater
JN648103.1,5413,1288,14,"0,396351900","5,77751e-01","Canine bocavirus 1 isolate Con-161, complete genome",1511885,Viruses,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Bocaparvovirus,Carnivore bocaparvovirus 2,Dogs,Strictly animal,Canine bocavirus 1,Canine bocavirus 1,M6,4476610,Aquiris BXL wastewater 8MAR2024 (Solid),Solid,wastewater
JN648103.1,5413,4846,5984,"168,225720000","1,50201e+02","Canine bocavirus 1 isolate Con-161, complete genome",1511885,Viruses,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Bocaparvovirus,Carnivore bocaparvovirus 2,Dogs,Strictly animal,Canine bocavirus 1,Canine bocavirus 1,M3,7360040,Aquafin wastewater 18JAN2024 (Fluid),Fluid,wastewater
JN648103.1,5413,2935,629,"17,398062000","1,41499e+01","Canine bocavirus 1 isolate Con-161, complete genome",1511885,Viruses,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Bocaparvovirus,Carnivore bocaparvovirus 2,Dogs,Strictly animal,Canine bocavirus 1,Canine bocavirus 1,M2,8212182,Aquafin wastewater 8JAN2024 (Fluid),Fluid,wastewater
JN648103.1,5413,4372,199,"5,412122200","4,81304e+00","Canine bocavirus 1 isolate Con-161, complete genome",1511885,Viruses,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Bocaparvovirus,Carnivore bocaparvovirus 2,Dogs,Strictly animal,Canine bocavirus 1,Canine bocavirus 1,M7,7638288,Aquiris BXL wastewater 8MAR2024 (Fluid),Fluid,wastewater
JN648103.1,5413,3888,114,"3,192855800","2,32322e+00","Canine bocavirus 1 isolate Con-161, complete genome",1511885,Viruses,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Bocaparvovirus,Carnivore bocaparvovirus 2,Dogs,Strictly animal,Canine bocavirus 1,Canine bocavirus 1,M1,9065164,Aquafin wastewater 24OCT2023 (Fluid),Fluid,wastewater
JQ692585.1,5331,2066,16,"0,432541970","1,59038e-01","Feline bocavirus strain HK797F, complete genome",1174530,Viruses,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Bocaparvovirus,Carnivore bocaparvovirus 3,Cats,Strictly animal,Feline bocavirus,Feline bocavirus,M4,18871642,Aquafin wastewater 22JAN2024 (Fluid),Fluid,wastewater
JQ692585.1,5331,2913,36,"0,989191300","1,05516e+00","Feline bocavirus strain HK797F, complete genome",1174530,Viruses,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Bocaparvovirus,Carnivore bocaparvovirus 3,Cats,Strictly animal,Feline bocavirus,Feline bocavirus,M8,6399938,Aquiris BXL wastewater 8MAR2024 (Filtered),Filtered,wastewater
JQ692585.1,5331,3134,68,"1,944798400","1,69105e+00","Feline bocavirus strain HK797F, complete genome",1174530,Viruses,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Bocaparvovirus,Carnivore bocaparvovirus 3,Cats,Strictly animal,Feline bocavirus,Feline bocavirus,M5,7543012,Aquiris BXL wastewater 28FEB2024 (Fluid),Fluid,wastewater
JQ692585.1,5331,1386,26,"0,741362700","6,62650e-01","Feline bocavirus strain HK797F, complete genome",1174530,Viruses,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Bocaparvovirus,Carnivore bocaparvovirus 3,Cats,Strictly animal,Feline bocavirus,Feline bocavirus,M3,7360040,Aquafin wastewater 18JAN2024 (Fluid),Fluid,wastewater
JQ692585.1,5331,1483,21,"0,594672860","4,79680e-01","Feline bocavirus strain HK797F, complete genome",1174530,Viruses,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Bocaparvovirus,Carnivore bocaparvovirus 3,Cats,Strictly animal,Feline bocavirus,Feline bocavirus,M2,8212182,Aquafin wastewater 8JAN2024 (Fluid),Fluid,wastewater
JQ692585.1,5331,3458,83,"2,373673000","2,03832e+00","Feline bocavirus strain HK797F, complete genome",1174530,Viruses,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Bocaparvovirus,Carnivore bocaparvovirus 3,Cats,Strictly animal,Feline bocavirus,Feline bocavirus,M7,7638288,Aquiris BXL wastewater 8MAR2024 (Fluid),Fluid,wastewater
JQ692585.1,5331,2492,59,"1,723219500","1,22087e+00","Feline bocavirus strain HK797F, complete genome",1174530,Viruses,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Bocaparvovirus,Carnivore bocaparvovirus 3,Cats,Strictly animal,Feline bocavirus,Feline bocavirus,M1,9065164,Aquafin wastewater 24OCT2023 (Fluid),Fluid,wastewater
KF792837.1,5479,5421,483,"13,259899000","1,37743e+01","Feline bocavirus 2 isolate POR1, complete genome",1417756,Viruses,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Bocaparvovirus,Carnivore bocaparvovirus 4,Cats,Strictly animal,Feline bocaparvovirus 2,Feline bocaparvovirus 2,M8,6399938,Aquiris BXL wastewater 8MAR2024 (Filtered),Filtered,wastewater
KF792837.1,5479,4289,109,"2,977857000","2,63743e+00","Feline bocavirus 2 isolate POR1, complete genome",1417756,Viruses,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Bocaparvovirus,Carnivore bocaparvovirus 4,Cats,Strictly animal,Feline bocaparvovirus 2,Feline bocaparvovirus 2,M5,7543012,Aquiris BXL wastewater 28FEB2024 (Fluid),Fluid,wastewater
KF792837.1,5479,2277,33,"0,897166430","1,34544e+00","Feline bocavirus 2 isolate POR1, complete genome",1417756,Viruses,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Bocaparvovirus,Carnivore bocaparvovirus 4,Cats,Strictly animal,Feline bocaparvovirus 2,Feline bocaparvovirus 2,M6,4476610,Aquiris BXL wastewater 8MAR2024 (Solid),Solid,wastewater
KF792837.1,5479,5423,432,"11,861700000","1,03225e+01","Feline bocavirus 2 isolate POR1, complete genome",1417756,Viruses,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Bocaparvovirus,Carnivore bocaparvovirus 4,Cats,Strictly animal,Feline bocaparvovirus 2,Feline bocaparvovirus 2,M7,7638288,Aquiris BXL wastewater 8MAR2024 (Fluid),Fluid,wastewater
KF792837.1,5479,4685,130,"3,550197100","2,61738e+00","Feline bocavirus 2 isolate POR1, complete genome",1417756,Viruses,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Bocaparvovirus,Carnivore bocaparvovirus 4,Cats,Strictly animal,Feline bocaparvovirus 2,Feline bocaparvovirus 2,M1,9065164,Aquafin wastewater 24OCT2023 (Fluid),Fluid,wastewater
KM017744.1,5407,2067,33,"0,922959860","6,73259e-01","Feline bocaparvovirus 3 isolate FBD1, complete genome",2259807,Viruses,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Bocaparvovirus,Carnivore bocaparvovirus 5,Cats,Strictly animal,Feline bocaparvovirus 3,Feline bocaparvovirus 3,M1,9065164,Aquafin wastewater 24OCT2023 (Fluid),Fluid,wastewater
M19296.1,5323,4627,190,"5,389715700","5,57727e+00","Canine parvovirus strain CPV-N, complete cds",10788,Viruses,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Protoparvovirus,Carnivore protoparvovirus 1,Dogs,Strictly animal,Canine parvovirus,Canine parvovirus,M8,6399938,Aquiris BXL wastewater 8MAR2024 (Filtered),Filtered,wastewater
M19296.1,5323,5250,1551,"44,798958000","3,86287e+01","Canine parvovirus strain CPV-N, complete cds",10788,Viruses,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Protoparvovirus,Carnivore protoparvovirus 1,Dogs,Strictly animal,Canine parvovirus,Canine parvovirus,M5,7543012,Aquiris BXL wastewater 28FEB2024 (Fluid),Fluid,wastewater
M19296.1,5323,3265,77,"2,272569200","1,96541e+00","Canine parvovirus strain CPV-N, complete cds",10788,Viruses,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Protoparvovirus,Carnivore protoparvovirus 1,Dogs,Strictly animal,Canine parvovirus,Canine parvovirus,M3,7360040,Aquafin wastewater 18JAN2024 (Fluid),Fluid,wastewater
M19296.1,5323,1458,20,"0,577807840","4,57525e-01","Canine parvovirus strain CPV-N, complete cds",10788,Viruses,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Protoparvovirus,Carnivore protoparvovirus 1,Dogs,Strictly animal,Canine parvovirus,Canine parvovirus,M2,8212182,Aquafin wastewater 8JAN2024 (Fluid),Fluid,wastewater
M19296.1,5323,4820,224,"6,534506300","5,50929e+00","Canine parvovirus strain CPV-N, complete cds",10788,Viruses,Cossaviricota,Quintoviricetes,Piccovirales,Parvoviridae,Protoparvovirus,Carnivore protoparvovirus 1,Dogs,Strictly animal,Canine parvovirus,Canine parvovirus,M7,7638288,Aquiris BXL wastewater 8MAR2024 (Fluid),Fluid,wastewater
AY695933.1,5723,4170,90,"2,465099600","2,13668e+00","Carrot red leaf virus strain UK-1, complete genome",66200,Viruses,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Polerovirus,Carrot red leaf virus,Other,other,unclassified Carrot red leaf virus subspecies/strain,unclassified Carrot red leaf virus strain,M3,7360040,Aquafin wastewater 18JAN2024 (Fluid),Fluid,wastewater
AY695933.1,5723,1097,14,"0,371433700","2,97883e-01","Carrot red leaf virus strain UK-1, complete genome",66200,Viruses,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Polerovirus,Carrot red leaf virus,Other,other,unclassified Carrot red leaf virus subspecies/strain,unclassified Carrot red leaf virus strain,M2,8212182,Aquafin wastewater 8JAN2024 (Fluid),Fluid,wastewater
AY695933.1,5723,1614,24,"0,642921200","5,49024e-01","Carrot red leaf virus strain UK-1, complete genome",66200,Viruses,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Polerovirus,Carrot red leaf virus,Other,other,unclassified Carrot red leaf virus subspecies/strain,unclassified Carrot red leaf virus strain,M7,7638288,Aquiris BXL wastewater 8MAR2024 (Fluid),Fluid,wastewater
AY695933.1,5723,2860,66,"1,734254500","1,27217e+00","Carrot red leaf virus strain UK-1, complete genome",66200,Viruses,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Polerovirus,Carrot red leaf virus,Other,other,unclassified Carrot red leaf virus subspecies/strain,unclassified Carrot red leaf virus strain,M1,9065164,Aquafin wastewater 24OCT2023 (Fluid),Fluid,wastewater
KF533719.2,6944,5184,97,"2,145128000","7,40206e-01","Carrot torradovirus 1 isolate CTV-1_RNA1_H6 polyprotein gene, complete cds",1425364,Viruses,Pisuviricota,Pisoniviricetes,Picornavirales,Secoviridae,Torradovirus,Carrot torradovirus 1,Other,other,unclassified Carrot torradovirus 1 subspecies/strain,unclassified Carrot torradovirus 1 strain,M4,18871642,Aquafin wastewater 22JAN2024 (Fluid),Fluid,wastewater
KF533720.2,4995,2214,43,"1,296388000","4,56166e-01","Carrot torradovirus 1 isolate CTV-1_RNA2_H6 ORF1 and polyprotein genes, complete cds",1425364,Viruses,Pisuviricota,Pisoniviricetes,Picornavirales,Secoviridae,Torradovirus,Carrot torradovirus 1,Other,other,unclassified Carrot torradovirus 1 subspecies/strain,unclassified Carrot torradovirus 1 strain,M4,18871642,Aquafin wastewater 22JAN2024 (Fluid),Fluid,wastewater
KF533719.2,6944,3501,61,"1,389902800","1,37260e+00","Carrot torradovirus 1 isolate CTV-1_RNA1_H6 polyprotein gene, complete cds",1425364,Viruses,Pisuviricota,Pisoniviricetes,Picornavirales,Secoviridae,Torradovirus,Carrot torradovirus 1,Other,other,unclassified Carrot torradovirus 1 subspecies/strain,unclassified Carrot torradovirus 1 strain,M8,6399938,Aquiris BXL wastewater 8MAR2024 (Filtered),Filtered,wastewater
KF533720.2,4995,1107,14,"0,431372550","4,37942e-01","Carrot torradovirus 1 isolate CTV-1_RNA2_H6 ORF1 and polyprotein genes, complete cds",1425364,Viruses,Pisuviricota,Pisoniviricetes,Picornavirales,Secoviridae,Torradovirus,Carrot torradovirus 1,Other,other,unclassified Carrot torradovirus 1 subspecies/strain,unclassified Carrot torradovirus 1 strain,M8,6399938,Aquiris BXL wastewater 8MAR2024 (Filtered),Filtered,wastewater
KF533719.2,6944,5861,139,"2,995878700","2,65375e+00","Carrot torradovirus 1 isolate CTV-1_RNA1_H6 polyprotein gene, complete cds",1425364,Viruses,Pisuviricota,Pisoniviricetes,Picornavirales,Secoviridae,Torradovirus,Carrot torradovirus 1,Other,other,unclassified Carrot torradovirus 1 subspecies/strain,unclassified Carrot torradovirus 1 strain,M5,7543012,Aquiris BXL wastewater 28FEB2024 (Fluid),Fluid,wastewater
KF533720.2,4995,2947,49,"1,483797800","1,30052e+00","Carrot torradovirus 1 isolate CTV-1_RNA2_H6 ORF1 and polyprotein genes, complete cds",1425364,Viruses,Pisuviricota,Pisoniviricetes,Picornavirales,Secoviridae,Torradovirus,Carrot torradovirus 1,Other,other,unclassified Carrot torradovirus 1 subspecies/strain,unclassified Carrot torradovirus 1 strain,M5,7543012,Aquiris BXL wastewater 28FEB2024 (Fluid),Fluid,wastewater
KF533719.2,6944,4212,57,"1,266264300","1,83365e+00","Carrot torradovirus 1 isolate CTV-1_RNA1_H6 polyprotein gene, complete cds",1425364,Viruses,Pisuviricota,Pisoniviricetes,Picornavirales,Secoviridae,Torradovirus,Carrot torradovirus 1,Other,other,unclassified Carrot torradovirus 1 subspecies/strain,unclassified Carrot torradovirus 1 strain,M6,4476610,Aquiris BXL wastewater 8MAR2024 (Solid),Solid,wastewater
KF533720.2,4995,1770,23,"0,704643960","1,02859e+00","Carrot torradovirus 1 isolate CTV-1_RNA2_H6 ORF1 and polyprotein genes, complete cds",1425364,Viruses,Pisuviricota,Pisoniviricetes,Picornavirales,Secoviridae,Torradovirus,Carrot torradovirus 1,Other,other,unclassified Carrot torradovirus 1 subspecies/strain,unclassified Carrot torradovirus 1 strain,M6,4476610,Aquiris BXL wastewater 8MAR2024 (Solid),Solid,wastewater
KF533719.2,6944,6824,1002,"22,162497000","1,96055e+01","Carrot torradovirus 1 isolate CTV-1_RNA1_H6 polyprotein gene, complete cds",1425364,Viruses,Pisuviricota,Pisoniviricetes,Picornavirales,Secoviridae,Torradovirus,Carrot torradovirus 1,Other,other,unclassified Carrot torradovirus 1 subspecies/strain,unclassified Carrot torradovirus 1 strain,M3,7360040,Aquafin wastewater 18JAN2024 (Fluid),Fluid,wastewater
KF533720.2,4995,4963,512,"15,782662000","1,39269e+01","Carrot torradovirus 1 isolate CTV-1_RNA2_H6 ORF1 and polyprotein genes, complete cds",1425364,Viruses,Pisuviricota,Pisoniviricetes,Picornavirales,Secoviridae,Torradovirus,Carrot torradovirus 1,Other,other,unclassified Carrot torradovirus 1 subspecies/strain,unclassified Carrot torradovirus 1 strain,M3,7360040,Aquafin wastewater 18JAN2024 (Fluid),Fluid,wastewater
KF533719.2,6944,6403,268,"5,872976300","4,69966e+00","Carrot torradovirus 1 isolate CTV-1_RNA1_H6 polyprotein gene, complete cds",1425364,Viruses,Pisuviricota,Pisoniviricetes,Picornavirales,Secoviridae,Torradovirus,Carrot torradovirus 1,Other,other,unclassified Carrot torradovirus 1 subspecies/strain,unclassified Carrot torradovirus 1 strain,M2,8212182,Aquafin wastewater 8JAN2024 (Fluid),Fluid,wastewater
KF533720.2,4995,3874,114,"3,472858700","2,77914e+00","Carrot torradovirus 1 isolate CTV-1_RNA2_H6 ORF1 and polyprotein genes, complete cds",1425364,Viruses,Pisuviricota,Pisoniviricetes,Picornavirales,Secoviridae,Torradovirus,Carrot torradovirus 1,Other,other,unclassified Carrot torradovirus 1 subspecies/strain,unclassified Carrot torradovirus 1 strain,M2,8212182,Aquafin wastewater 8JAN2024 (Fluid),Fluid,wastewater
KF533719.2,6944,5623,218,"4,792758500","4,11008e+00","Carrot torradovirus 1 isolate CTV-1_RNA1_H6 polyprotein gene, complete cds",1425364,Viruses,Pisuviricota,Pisoniviricetes,Picornavirales,Secoviridae,Torradovirus,Carrot torradovirus 1,Other,other,unclassified Carrot torradovirus 1 subspecies/strain,unclassified Carrot torradovirus 1 strain,M7,7638288,Aquiris BXL wastewater 8MAR2024 (Fluid),Fluid,wastewater
KF533720.2,4995,2594,56,"1,714757400","1,46776e+00","Carrot torradovirus 1 isolate CTV-1_RNA2_H6 ORF1 and polyprotein genes, complete cds",1425364,Viruses,Pisuviricota,Pisoniviricetes,Picornavirales,Secoviridae,Torradovirus,Carrot torradovirus 1,Other,other,unclassified Carrot torradovirus 1 subspecies/strain,unclassified Carrot torradovirus 1 strain,M7,7638288,Aquiris BXL wastewater 8MAR2024 (Fluid),Fluid,wastewater
KF533719.2,6944,6918,1326,"29,178686000","2,10648e+01","Carrot torradovirus 1 isolate CTV-1_RNA1_H6 polyprotein gene, complete cds",1425364,Viruses,Pisuviricota,Pisoniviricetes,Picornavirales,Secoviridae,Torradovirus,Carrot torradovirus 1,Other,other,unclassified Carrot torradovirus 1 subspecies/strain,unclassified Carrot torradovirus 1 strain,M1,9065164,Aquafin wastewater 24OCT2023 (Fluid),Fluid,wastewater
KF533720.2,4995,4955,906,"27,745304000","2,00086e+01","Carrot torradovirus 1 isolate CTV-1_RNA2_H6 ORF1 and polyprotein genes, complete cds",1425364,Viruses,Pisuviricota,Pisoniviricetes,Picornavirales,Secoviridae,Torradovirus,Carrot torradovirus 1,Other,other,unclassified Carrot torradovirus 1 subspecies/strain,unclassified Carrot torradovirus 1 strain,M1,9065164,Aquafin wastewater 24OCT2023 (Fluid),Fluid,wastewater
KX657784.1,9070,1301,69,"1,108744400","8,39201e-01","Centovirus AC, complete genome",1916650,Viruses,Pisuviricota,Pisoniviricetes,Picornavirales,Dicistroviridae,unclassified Dicistroviridae genus,Centovirus,Insects,insects,Centovirus AC,Centovirus AC,M1,9065164,Aquafin wastewater 24OCT2023 (Fluid),Fluid,wastewater
M55918.1,2319,2034,351,"23,273859000","8,02041e+00","Chicken anemia virus ORF1 (Cux-1), ORF2 (Cux-1), and ORF3 (Cux-1) genes, complete cds",12618,Viruses,unclassified Viruses phylum,unclassified Viruses class,unclassified Viruses order,Anelloviridae,Gyrovirus,Chicken anemia virus,Birds,Strictly animal,unclassified Chicken anemia virus subspecies/strain,unclassified Chicken anemia virus strain,M4,18871642,Aquafin wastewater 22JAN2024 (Fluid),Fluid,wastewater
M55918.1,2319,2283,1183,"79,738590000","7,97092e+01","Chicken anemia virus ORF1 (Cux-1), ORF2 (Cux-1), and ORF3 (Cux-1) genes, complete cds",12618,Viruses,unclassified Viruses phylum,unclassified Viruses class,unclassified Viruses order,Anelloviridae,Gyrovirus,Chicken anemia virus,Birds,Strictly animal,unclassified Chicken anemia virus subspecies/strain,unclassified Chicken anemia virus strain,M8,6399938,Aquiris BXL wastewater 8MAR2024 (Filtered),Filtered,wastewater
M55918.1,2319,2121,448,"30,532503000","2,56113e+01","Chicken anemia virus ORF1 (Cux-1), ORF2 (Cux-1), and ORF3 (Cux-1) genes, complete cds",12618,Viruses,unclassified Viruses phylum,unclassified Viruses class,unclassified Viruses order,Anelloviridae,Gyrovirus,Chicken anemia virus,Birds,Strictly animal,unclassified Chicken anemia virus subspecies/strain,unclassified Chicken anemia virus strain,M5,7543012,Aquiris BXL wastewater 28FEB2024 (Fluid),Fluid,wastewater
M55918.1,2319,2171,519,"35,183033000","4,99939e+01","Chicken anemia virus ORF1 (Cux-1), ORF2 (Cux-1), and ORF3 (Cux-1) genes, complete cds",12618,Viruses,unclassified Viruses phylum,unclassified Viruses class,unclassified Viruses order,Anelloviridae,Gyrovirus,Chicken anemia virus,Birds,Strictly animal,unclassified Chicken anemia virus subspecies/strain,unclassified Chicken anemia virus strain,M6,4476610,Aquiris BXL wastewater 8MAR2024 (Solid),Solid,wastewater
M55918.1,2319,2052,775,"52,711850000","4,54068e+01","Chicken anemia virus ORF1 (Cux-1), ORF2 (Cux-1), and ORF3 (Cux-1) genes, complete cds",12618,Viruses,unclassified Viruses phylum,unclassified Viruses class,unclassified Viruses order,Anelloviridae,Gyrovirus,Chicken anemia virus,Birds,Strictly animal,unclassified Chicken anemia virus subspecies/strain,unclassified Chicken anemia virus strain,M3,7360040,Aquafin wastewater 18JAN2024 (Fluid),Fluid,wastewater
M55918.1,2319,2225,613,"41,145690000","3,21885e+01","Chicken anemia virus ORF1 (Cux-1), ORF2 (Cux-1), and ORF3 (Cux-1) genes, complete cds",12618,Viruses,unclassified Viruses phylum,unclassified Viruses class,unclassified Viruses order,Anelloviridae,Gyrovirus,Chicken anemia virus,Birds,Strictly animal,unclassified Chicken anemia virus subspecies/strain,unclassified Chicken anemia virus strain,M2,8212182,Aquafin wastewater 8JAN2024 (Fluid),Fluid,wastewater
M55918.1,2319,2265,919,"62,062702000","5,18822e+01","Chicken anemia virus ORF1 (Cux-1), ORF2 (Cux-1), and ORF3 (Cux-1) genes, complete cds",12618,Viruses,unclassified Viruses phylum,unclassified Viruses class,unclassified Viruses order,Anelloviridae,Gyrovirus,Chicken anemia virus,Birds,Strictly animal,unclassified Chicken anemia virus subspecies/strain,unclassified Chicken anemia virus strain,M7,7638288,Aquiris BXL wastewater 8MAR2024 (Fluid),Fluid,wastewater
